"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:08.0","6:08.0","1.00","6:07","6:07","134","146","10","19","","","","","","","","","","","","","6:07","","6:08.0","6:07","",""
"2","5:51.0","11:59.0","1.00","5:51","5:51","151","156","4","8","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"3","6:05.0","18:04.0","1.00","6:05","6:05","154","160","10","6","","","","","","","","","","","","","6:05","","6:05.0","6:05","",""
"4","5:54.0","23:58.0","1.00","5:54","5:54","150","156","3","14","","","","","","","","","","","","","5:54","","5:54.0","5:54","",""
"5","5:57.0","29:55.0","1.00","5:57","5:57","154","159","4","6","","","","","","","","","","","","","5:57","","5:57.0","5:57","",""
"6","5:47.0","35:42.0","1.00","5:47","5:47","161","165","3","4","","","","","","","","","","","","","5:47","","5:47.0","5:47","",""
"7","5:44.0","41:26.0","1.00","5:44","5:44","163","169","6","4","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"8","5:38.0","47:04.0","1.00","5:38","5:38","166","171","5","6","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"9","5:36.0","52:40.0","1.00","5:36","5:36","168","172","5","6","","","","","","","","","","","","","5:36","","5:36.0","5:36","",""
"10","5:44.0","58:24.0","1.00","5:44","5:44","168","173","4","5","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"11","5:38.0","64:02.0","1.00","5:38","5:38","171","175","5","4","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"12","5:42.0","69:44.0","1.00","5:42","5:42","170","173","6","5","","","","","","","","","","","","","5:42","","5:42.0","5:42","",""
"13","5:39.0","75:23.0","1.00","5:38","5:38","172","174","6","7","","","","","","","","","","","","","5:38","","5:39.0","5:38","",""
"14","5:39.0","81:02.0","1.00","5:39","5:39","174","179","6","6","","","","","","","","","","","","","5:39","","5:39.0","5:39","",""
"15","5:33.0","86:35.0","1.00","5:34","5:34","176","181","6","4","","","","","","","","","","","","","5:34","","5:33.0","5:34","",""
"16","2:59.0","89:34.0","0.53","5:35","5:35","177","181","6","2","","","","","","","","","","","","","5:35","","2:59.0","5:35","",""
"统计","89:49.0","89:49.0","15.55","5:46","5:46","162","181","26.0","","","","","","","","","","","","982","","5:46","","89:49.0","5:46","--","--"
